date,type,category,latitude,longitude
1/26/2004 0:00:00,Explosive Hazard,IED Explosion,34.79249954,71.12389374
1/26/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.10166931,66.91333008
1/26/2004 13:20:00,Enemy Action,Indirect Fire,32.53778076,69.19526672
1/27/2004 0:00:00,Enemy Action,Convoy,34.85166931,69.65083313
1/27/2004 0:00:00,Enemy Action,Direct Fire,32.90721893,69.45027161
1/27/2004 0:00:00,Non-Combat Event,Accident,31,66.40000153
1/27/2004 0:00:00,Enemy Action,Direct Fire,32.54999924,67.03333282
1/28/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.10139084,66.91304779
1/28/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.2491684,70.05082703
2/1/2004 0:00:00,Enemy Action,Direct Fire,34.86000061,71.1341629
1/28/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.67554855,69.14472961
1/28/2004 0:00:00,Non-Combat Event,Propaganda,32.93360901,69.15583038
1/28/2004 0:00:00,Explosive Hazard,IED Found/Cleared,31.61889076,65.71138
1/29/2004 0:00:00,Enemy Action,Direct Fire,31.32806015,66.92861176
1/30/2004 0:00:00,Enemy Action,ATTACK,31.56666946,66.49999237
1/30/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.51721954,68.23972321
1/30/2004 0:00:00,Friendly Action,Cache Found/Cleared,34.86639023,71.15055847
1/30/2004 0:00:00,Enemy Action,Direct Fire,34.98360825,69.25723267
1/31/2004 0:00:00,Enemy Action,Indirect Fire,34.9858284,70.90917206
1/31/2004 0:00:00,Suspicious Incident,Surveillance,33.35943985,69.95056152
2/1/2004 0:00:00,Enemy Action,Attack,33.42625046,64.01112366
2/1/2004 0:00:00,Enemy Action,Attack,30.16666031,66.19998932
2/3/2004 17:30:00,Enemy Action,Indirect Fire,33.1227684,69.93776703
2/4/2004 0:00:00,Enemy Action,Indirect Fire,34.85028076,71.11971283
2/4/2004 0:00:00,Enemy Action,Direct Fire,31.96666908,65.48332977
2/5/2004 0:00:00,Enemy Action,Direct Fire,31.56665039,65.05001831
2/6/2004 0:00:00,Enemy Action,Indirect Fire,31.64694023,65.68417358
2/6/2004 0:00:00,Friendly Action,Cache Found/Cleared,30.98139,66.33611298
2/6/2004 0:00:00,Explosive Hazard,Mine Found/Cleared,33.56415939,68.36972046
2/6/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.37026978,69.39888763
2/6/2004 0:00:00,Enemy Action,Indirect Fire,32.63222122,65.50166321
2/8/2004 0:00:00,Suspicious Incident,Surveillance,34.8572197,71.12194824
2/13/2004 0:00:00,Enemy Action,Direct Fire,30.16666031,66.19998932
2/8/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.37776947,69.32305908
2/8/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.19944,66.99250031
2/8/2004 0:00:00,Friendly Action,Cache Found/Cleared,34.18138123,69.13443756
2/8/2004 0:00:00,Enemy Action,Direct Fire,32.40000916,66.39998627
2/8/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.59056091,69.67194366
2/8/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.38000107,69.31944275
2/9/2004 0:00:00,Enemy Action,Direct Fire,32.51665878,67.41665649
2/9/2004 0:00:00,Friendly Action,Cache Found/Cleared,31.60416985,65.66110229
2/9/2004 0:00:00,Friendly Action,Cache Found/Cleared,31.64666939,65.6827774
2/9/2004 0:00:00,Enemy Action,Direct Fire,31.56666946,66.49999237
2/9/2004 0:00:00,Suspicious Incident,Surveillance,31.64666939,65.6827774
2/10/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.17304993,66.87888336
2/10/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.34054947,70.21528625
2/10/2004 0:00:00,Enemy Action,Attack,32.28332901,65.71666718
2/10/2004 0:00:00,Friendly Action,Cache Found/Cleared,34.87665939,69.23082733
2/10/2004 0:00:00,Enemy Action,Direct Fire,31.63334084,67.33334351
2/11/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.15250397,69.70027924
2/11/2004 0:00:00,Enemy Action,Direct Fire,30.16666031,66.19998932
2/11/2004 0:00:00,Enemy Action,Direct Fire,34.85332108,71.13667297
