latitude,longitude,date,event
17.21825,106.12942,7/16/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 91
17.21825,106.12942,7/17/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 93
17.21825,106.12942,7/17/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 95
17.21825,106.12942,7/19/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 118
17.21825,106.12942,7/20/1966 0:00:00,1000 LB Delay GPB Road Unobserved Total Bombs = 97
17.21825,106.12942,7/20/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Heavy/MOD Total Bombs = 99
17.20158,106.12942,7/20/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 250
17.05159,105.96278,7/23/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Heavy/MOD Total Bombs = 926
17.26824,106.17941,7/28/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cut Total Bombs = 444
17.07242,106.34051,9/7/1966 0:00:00,1000 LB GPB M-65 A-1 Road Unobserved Total Bombs = 1
17.04631,105.96,9/7/1966 0:00:00,1000 LB GPB M-65 A-1 Road Unobserved Total Bombs = 8
17.20158,106.07943,9/17/1966 0:00:00,1000 LB GPB M-65 A-1 Road Unobserved Total Bombs = 4402
17.18491,106.16276,10/7/1966 0:00:00,1000 LB GPB M-65 A-1 Road Unobserved Total Bombs = 1256
17.20436,106.1572,10/9/1966 0:00:00,1000 LB GPB M-65 A-1 FOSD Unobserved Total Bombs = 2
17.18491,106.14609,10/15/1966 0:00:00,1000 LB GPB M-65 A-1 Road Cut Total Bombs = 2406
17.20991,106.13915,10/16/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cratered Total Bombs = 10
17.29324,106.29468,10/17/1966 0:00:00,1000 LB GPB M-65 A-1 Road Unobserved Total Bombs = 2
17.18547,106.14887,10/17/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cut Total Bombs = 8
17.23075,106.13776,10/21/1966 0:00:00,1000 LB GPB M-65 A-1 Road No Damage Total Bombs = 1
17.04538,105.95938,10/30/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 2
17.42538,105.20809,10/30/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Unobserved Total Bombs = 2
17.48487,105.31285,10/30/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Heavy/MOD Total Bombs = 43
17.34647,105.71625,10/30/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Bridge Cut Total Bombs = 2
